Pays,Region,Surface (km2),Population (88) en millier,PNB ($ mio),Exports ($ mio),Imports ($ mio)
Mali,Afrika,1240000,7946,1590,260,493
Malta,Europa,316,390,1440,1421,2708
Marokko,Afrika,446550,24600,18010,3274,4585
Martinique,Lateinamerika,1102,305,1300,209,879
Mauritius,Afrika,2045,1068,1500,676,684
Mexico,Lateinamerika,1927546,85000,180444,20768,19592
Mongolei,Asien,1565000,2076,1000,694,1925
Mozambique,Afrika,801590,13751,2130,82,585
Namibia,Afrika,824292,1172,1160,912,678
Nepal,Asien,140797,17262,2830,193,688
Neukaledonien,Pazifischer Raum,19058,158,870,6,7
Neuseeland,Pazifischer Raum,268743,3400,27920,8832,7348
Nicaragua,Lateinamerika,130000,3165,2970,300,923
Niederlande,Europa,40844,14992,173370,103195,99444
Niger,Afrika,1267000,5098,2000,209,345
Nigeria,Afrika,924013,100200,63745,7365,7816
Norwegen,Europa,324220,4200,87607,22082,23155
Oman,Naher Osten,307000,1100,6973,3433,1822
oesterreich,Europa,83853,7593,90490,31022,36002
Pakistan,Asien,804152,104500,38443,4521,6590
Panama,Lateinamerika,75650,2300,4415,357,709
Papa Neu Guinea,Pazifischer Raum,461691,3806,2570,1420,1380
Paraguay,Suedamerika,406752,3825,3910,353,595
Peru,Suedamerika,1285215,21300,20208,2695,3080
Philippinen,Pazifischer Raum,299760,28700,38252,6861,8755
Polen,Europa,312677,42312,72430,13959,12625
Portugal,Europa,92082,10800,24341,10556,16108
Puerto Rico,Lateinamerika,8897,3700,13458,11571,10099
Qatar,Afrika,10360,266,4325,2720,1161
Réunion,Afrika,2510,563,2110,154,1374
Rwanda,Afrika,26338,6358,2000,196,364
RumAenien,Europa,237500,23500,52854,12543,11437
Samoa (West),Pazifischer Raum,2835,165,100,15,76
Saudi Arabien,Naher Osten,2149690,13785,83280,26975,24345
Schweden,Europa,449964,8511,131130,49747,45627
Schweiz,Europa,41293,6526,138170,50624,56490
Senegal,Afrika,196192,7011,3560,584,852
Seychellen,Afrika,308,69,200,22,153
Sierra Leone,Afrika,71740,3622,1180,110,151
Singapur,Asien,588,2800,22085,39324,43870
Solomon Inseln,Pazifischer Raum,28446,311,110,64,81
Somalien,Afrika,637657,6824,1670,85,279
Spanien,Europa,504750,40600,227133,40341,60531
Sri Lanka,Asien,65610,16365,6570,1476,2208
Suedafrika,Afrika,1221037,34609,62920,21549,18757
Sudan,Afrika,2505812,22500,7033,504,871
Surinam,Suedamerika,163265,402,980,482,487
Swaziland,Afrika,17363,540,600,311,416
Syrien,Naher Osten,185180,11309,20410,3870,7112
Taiwan,Asien,35961,20200,97072,53491,34531
Tansania,Afrika,945087,23561,5200,288,923
Thailand,Asien,514000,56900,47060,15869,19774
Togo,Afrika,56785,2703,970,190,288
Tonga,Afrika,699,106,80,5,38
Trinidad,Afrika,5130,1161,5120,1460,1178
Tschad,Afrika,1284000,5469,810,221,732
Tunesien,Afrika,163610,7654,9010,2395,3689
Tuerkei,Naher Osten,780576,54122,63470,10190,13269
Uganda,Afrika,236036,17853,4100,399,477
Ungarn,Europa,93036,10768,23770,9949,9345
Uruguay,Suedamerika,176215,3267,6570,1405,1157
USA,Nordamerika,9363123,246705,4486190,321600,459570
USSR,Asien,22402200,283482,1212020,100762,92270
Venezuela,Suedamerika,912050,17600,48230,8402,8807
Vietnam,Asien,332559,57314,7760,596,1815
Yemen (arab. Rep.),Naher Osten,195000,7370,4910,26,2315
Yemen (Volksrep.),Naher Osten,332968,2346,970,645,1543
Zaire,Afrika,2345409,34565,5300,970,756
Sambia,Afrika,752614,6302,1800,517,648
Zimbabwe,Afrika,390580,9422,5280,1427,1209
Zypern,Europa,9251,708,3520,767,1880
